customerID,Churn_Probability
7590-VHVEG,77.0
5575-GNVDE,1.0
3668-QPYBK,36.0
7795-CFOCW,25.0
9237-HQITU,73.0
9305-CDSKC,93.0
1452-KIOVK,13.0
6713-OKOMC,21.0
7892-POOKP,95.0
6388-TABGU,0.0
9763-GRSKD,11.0
7469-LKBCI,1.0
8091-TTVAX,1.0
0280-XJGEX,93.0
5129-JLPIS,5.0
3655-SNQYZ,0.0
8191-XWSZG,2.0
9959-WOFKT,18.0
4190-MFLUW,38.0
4183-MYFRB,8.0
8779-QRDMV,94.0
1680-VDCWW,4.0
1066-JKSGK,39.0
3638-WEABW,1.0
6322-HRPFA,30.0
6865-JZNKO,6.0
6467-CHFZW,94.0
8665-UTDHZ,73.0
5248-YGIJN,0.0
8773-HHUOZ,26.0
3841-NFECX,0.0
4929-XIHVW,87.0
6827-IEAUQ,1.0
7310-EGVHZ,51.0
3413-BMNZE,69.0
6234-RAAPL,0.0
6047-YHPVI,65.0
6572-ADKRS,26.0
5380-WJKOV,99.0
8168-UQWWF,99.0
8865-TNMNX,4.0
9489-DEDVP,0.0
9867-JCZSP,2.0
4671-VJLCL,0.0
4080-IIARD,13.0
3714-NTNFO,94.0
5948-UJZLF,30.0
7760-OYPDY,84.0
7639-LIAYI,1.0
2954-PIBKO,0.0
8012-SOUDQ,3.0
9420-LOJKX,98.0
6575-SUVOI,8.0
7495-OOKFY,75.0
4667-QONEA,0.0
1658-BYGOY,96.0
8769-KKTPH,0.0
5067-XJQFU,0.0
3957-SQXML,2.0
5954-BDFSG,0.0
0434-CSFON,2.0
1215-FIGMP,1.0
0526-SXDJP,0.0
0557-ASKVU,7.000000000000001
5698-BQJOH,81.0
5122-CYFXA,35.0
8627-ZYGSZ,36.0
3410-YOQBQ,0.0
3170-NMYVV,1.0
7410-OIEDU,19.0
2273-QCKXA,52.0
0731-EBJQB,9.0
1891-QRQSA,0.0
8028-PNXHQ,0.0
5630-AHZIL,23.0
2673-CXQEU,1.0
6416-JNVRK,11.0
5590-ZSKRV,9.0
0191-ZHSKZ,5.0
3887-PBQAO,6.0
5919-TMRGD,92.0
8108-UXRQN,22.0
9191-MYQKX,65.0
9919-YLNNG,1.0
0318-ZOPWS,1.0
4445-ZJNMU,79.0
4808-YNLEU,2.0
1862-QRWPE,1.0
2796-NNUFI,2.0
3016-KSVCP,23.0
4767-HZZHQ,7.000000000000001
2424-WVHPL,71.0
7233-PAHHL,0.0
6067-NGCEU,0.0
9848-JQJTX,0.0
8637-XJIVR,46.0
9803-FTJCG,0.0
0278-YXOOG,24.0
3212-KXOCR,3.0
4598-XLKNJ,92.0
6380-ARCEH,52.0
3679-XASPY,35.0
7123-WQUHX,1.0
5386-THSLQ,1.0
3192-NQECA,97.0
6180-YBIQI,38.0
6728-DKUCO,0.0
9750-BOOHV,3.0
8597-CWYHH,1.0
2848-YXSMW,0.0
0486-HECZI,97.0
4549-ZDQYY,1.0
5712-AHQNN,1.0
4846-WHAFZ,85.0
5256-SKJGO,0.0
3071-VBYPO,18.0
9560-BBZXK,4.0
5299-RULOA,99.0
8402-OOOHJ,1.0
9445-ZUEQE,36.0
1091-SOZGA,1.0
2928-HLDBA,11.0
0404-SWRVG,76.0
6497-TILVL,13.0
7219-TLZHO,20.0
4622-YNKIJ,1.0
4412-YLTKF,39.0
6734-PSBAW,0.0
3930-ZGWVE,34.0
2639-UGMAZ,1.0
2876-GZYZC,77.0
6207-WIOLX,79.0
8587-XYZSF,0.0
3091-FYHKI,90.0
2372-HWUHI,54.0
7799-LGRDP,4.0
7850-VWJUU,19.0
3774-VBNXY,0.0
6217-KDYWC,4.0
0390-DCFDQ,90.0
3146-MSEGF,0.0
4080-OGPJL,40.0
1095-WGNGG,0.0
2636-SJDOU,2.0
1131-QQZEB,0.0
5716-EZXZN,0.0
6837-BJYDQ,10.0
2135-RXIHG,74.0
6440-DKQGE,1.0
3466-BYAVD,8.0
3780-YVMFA,27.0
3874-EQOEP,84.0
1679-JRFBR,0.0
9073-ZZIAY,0.0
3077-RSNTJ,23.0
6551-GNYDG,54.0
9167-APMXZ,47.0
2749-CTKAJ,1.0
6371-NZYEG,1.0
7554-NEWDD,3.0
8992-VONJD,13.0
0867-MKZVY,55.00000000000001
4482-EWFMI,72.0
4648-YPBTM,1.0
2907-ILJBN,3.0
6345-FZOQH,0.0
3376-BMGFE,75.0
5997-OPVFA,0.0
3445-HXXGF,96.0
1159-WFSGR,25.0
7654-YWJUF,3.0
1875-QIVME,87.0
6727-IOTLZ,1.0
0691-JVSYA,97.0
5918-VUKWP,3.0
1744-JHKYS,12.0
2656-FMOKZ,75.0
2070-FNEXE,40.0
5947-SGKCL,25.0
3712-PKXZA,2.0
6317-YPKDH,56.99999999999999
6582-OIVSP,64.0
9367-WXLCH,81.0
5524-KHNJP,1.0
1918-ZBFQJ,97.0
1024-GUALD,78.0
4827-USJHP,7.000000000000001
8167-GJLRN,51.0
0956-SYCWG,4.0
8017-UVSZU,10.0
7100-FQPRV,3.0
2472-OVKUP,67.0
2984-RGEYA,0.0
9680-NIAUV,0.0
2146-EGVDT,1.0
2604-IJPDU,8.0
9178-JHUVJ,3.0
6168-YBYNP,1.0
7255-SSFBC,0.0
3645-DEYGF,54.0
9323-HGFWY,3.0
8544-GOQSH,39.0
3363-DTIVD,0.0
7018-WBJNK,39.0
9142-KZXOP,18.0
7674-YTAFD,9.0
6348-SNFUS,0.0
1285-OKIPP,93.0
7825-ECJRF,84.0
1347-KTTTA,0.0
7841-TZDMQ,65.0
4195-NZGTA,57.99999999999999
7157-SMCFK,2.0
4709-LKHYG,2.0
2504-DSHIH,42.0
0699-NDKJM,4.0
9286-BHDQG,0.0
0230-WEQUW,0.0
2040-LDIWQ,0.0
6496-JDSSB,67.0
9408-SSNVZ,73.0
4443-EMBNA,0.0
6469-MRVET,40.0
0742-MOABM,56.00000000000001
5961-VUSRV,7.000000000000001
6778-JFCMK,3.0
6341-JVQGF,1.0
2232-DMLXU,73.0
4811-JBUVU,10.0
0945-TSONX,0.0
2651-ZCBXV,1.0
3316-UWXUY,0.0
8937-RDTHP,98.0
7083-MIOPC,0.0
1984-GPTEH,19.0
1251-KRREG,57.99999999999999
0621-JFHOL,6.0
9903-LYSAB,54.0
0094-OIFMO,66.0
9227-UAQFT,2.0
7301-ABVAD,0.0
6614-FHDBO,0.0
7576-ASEJU,16.0
9058-HRZSV,0.0
4522-AKYLR,16.0
0221-WMXNQ,46.0
0303-UNCIP,2.0
9947-OTFQU,71.0
0322-YINQP,37.0
0959-WHOKV,0.0
4075-JFPGR,0.0
4629-NRXKX,74.0
9514-JDSKI,81.0
3282-ZISZV,1.0
3675-YDUPJ,28.000000000000004
4111-BNXIF,0.0
7017-VFHAY,0.0
6655-LHBYW,0.0
4959-JOSRX,73.0
5046-NUHWD,11.0
7273-TEFQD,89.0
3606-TWKGI,99.0
7529-ZDFXI,1.0
7605-BDWDC,1.0
1950-KSVVJ,0.0
0123-CRBRT,0.0
6292-TOSSS,2.0
3197-ARFOY,15.0
6323-AYBRX,15.0
7014-ZZXAW,0.0
4385-GZQXV,98.0
7633-MVPUY,1.0
6366-ZGQGL,65.0
