customerID,Churn_Probability,Risk_Category
7590-VHVEG,77.0,High Risk
5575-GNVDE,1.0,Low Risk
3668-QPYBK,36.0,Medium Risk
7795-CFOCW,25.0,Low Risk
9237-HQITU,73.0,High Risk
9305-CDSKC,93.0,High Risk
1452-KIOVK,13.0,Low Risk
6713-OKOMC,21.0,Low Risk
7892-POOKP,95.0,High Risk
6388-TABGU,0.0,Low Risk
9763-GRSKD,11.0,Low Risk
7469-LKBCI,1.0,Low Risk
8091-TTVAX,1.0,Low Risk
0280-XJGEX,93.0,High Risk
5129-JLPIS,5.0,Low Risk
3655-SNQYZ,0.0,Low Risk
8191-XWSZG,2.0,Low Risk
9959-WOFKT,18.0,Low Risk
4190-MFLUW,38.0,Medium Risk
4183-MYFRB,8.0,Low Risk
8779-QRDMV,94.0,High Risk
1680-VDCWW,4.0,Low Risk
1066-JKSGK,39.0,Medium Risk
3638-WEABW,1.0,Low Risk
6322-HRPFA,30.0,Medium Risk
6865-JZNKO,6.0,Low Risk
6467-CHFZW,94.0,High Risk
8665-UTDHZ,73.0,High Risk
5248-YGIJN,0.0,Low Risk
8773-HHUOZ,26.0,Low Risk
3841-NFECX,0.0,Low Risk
4929-XIHVW,87.0,High Risk
6827-IEAUQ,1.0,Low Risk
7310-EGVHZ,51.0,Medium Risk
3413-BMNZE,69.0,High Risk
6234-RAAPL,0.0,Low Risk
6047-YHPVI,65.0,High Risk
6572-ADKRS,26.0,Low Risk
5380-WJKOV,99.0,High Risk
8168-UQWWF,99.0,High Risk
8865-TNMNX,4.0,Low Risk
9489-DEDVP,0.0,Low Risk
9867-JCZSP,2.0,Low Risk
4671-VJLCL,0.0,Low Risk
4080-IIARD,13.0,Low Risk
3714-NTNFO,94.0,High Risk
5948-UJZLF,30.0,Medium Risk
7760-OYPDY,84.0,High Risk
7639-LIAYI,1.0,Low Risk
2954-PIBKO,0.0,Low Risk
8012-SOUDQ,3.0,Low Risk
9420-LOJKX,98.0,High Risk
6575-SUVOI,8.0,Low Risk
